# Bond angle distribution (180 data points):
# Angle Count
0.5 0.0 
1.5 0.0 
2.5 0.0 
3.5 0.0 
4.5 0.0 
5.5 0.0 
6.5 0.0 
7.5 0.0 
8.5 0.0 
9.5 0.0 
10.5 0.0 
11.5 0.0 
12.5 0.0 
13.5 0.0 
14.5 0.0 
15.5 0.0 
16.5 0.0 
17.5 0.0 
18.5 0.0 
19.5 0.0 
20.5 0.0 
21.5 0.0 
22.5 0.0 
23.5 0.0 
24.5 0.0 
25.5 0.0 
26.5 0.0 
27.5 0.0 
28.5 0.0 
29.5 0.0 
30.5 0.0 
31.5 0.0 
32.5 0.0 
33.5 0.0 
34.5 0.0 
35.5 0.0 
36.5 0.0 
37.5 0.0 
38.5 0.0 
39.5 0.0 
40.5 0.0 
41.5 0.0 
42.5 0.0 
43.5 0.0 
44.5 0.0666666667 
45.5 0.2 
46.5 0.6 
47.5 1.8 
48.5 3.9333333333 
49.5 7.0 
50.5 14.6 
51.5 23.8 
52.5 37.9333333333 
53.5 71.1333333333 
54.5 119.4666666667 
55.5 196.4 
56.5 296.5333333333 
57.5 381.0 
58.5 454.4 
59.5 460.5333333333 
60.5 428.9333333333 
61.5 359.0666666667 
62.5 289.3333333333 
63.5 205.3333333333 
64.5 145.2666666667 
65.5 104.2666666667 
66.5 67.6666666667 
67.5 41.8666666667 
68.5 33.6 
69.5 21.0666666667 
70.5 16.9333333333 
71.5 12.0 
72.5 12.0 
73.5 12.6 
74.5 17.1333333333 
75.5 22.4 
76.5 35.9333333333 
77.5 53.2666666667 
78.5 78.0 
79.5 116.2666666667 
80.5 167.8 
81.5 225.7333333333 
82.5 300.3333333333 
83.5 391.1333333333 
84.5 466.6666666667 
85.5 557.4 
86.5 620.4 
87.5 700.8666666667 
88.5 800.5333333333 
89.5 925.7333333333 
90.5 1061.6666666667 
91.5 1238.3333333333 
92.5 1476.6666666667 
93.5 1803.2666666667 
94.5 2204.0 
95.5 2727.4 
96.5 3368.8 
97.5 4065.1333333333 
98.5 4857.6 
99.5 5705.8 
100.5 6648.6666666667 
101.5 7472.3333333333 
102.5 8179.0666666667 
103.5 8915.4 
104.5 9547.1333333333 
105.5 10026.2666666667 
106.5 10424.0 
107.5 10709.5333333333 
108.5 10820.1333333333 
109.5 10892.3333333333 
110.5 10948.8 
111.5 10894.4 
112.5 10756.5333333333 
113.5 10567.2666666667 
114.5 10278.4666666667 
115.5 10020.7333333333 
116.5 9671.8666666667 
117.5 9278.3333333333 
118.5 8765.4666666667 
119.5 8334.9333333333 
120.5 7817.0 
121.5 7276.2 
122.5 6697.2666666667 
123.5 6130.2666666667 
124.5 5550.5333333333 
125.5 5016.9333333333 
126.5 4445.8 
127.5 3986.4666666667 
128.5 3475.8 
129.5 3019.6666666667 
130.5 2606.0 
131.5 2248.7333333333 
132.5 1901.4666666667 
133.5 1616.2 
134.5 1361.8 
135.5 1140.4666666667 
136.5 969.4666666667 
137.5 814.4666666667 
138.5 665.2 
139.5 551.6666666667 
140.5 447.7333333333 
141.5 362.9333333333 
142.5 297.8666666667 
143.5 241.4 
144.5 198.1333333333 
145.5 154.0 
146.5 126.5333333333 
147.5 98.9333333333 
148.5 82.0 
149.5 61.0666666667 
150.5 49.6666666667 
151.5 39.2 
152.5 31.7333333333 
153.5 24.8 
154.5 21.2666666667 
155.5 19.5333333333 
156.5 12.6 
157.5 11.6 
158.5 8.6 
159.5 7.2 
160.5 6.7333333333 
161.5 6.8666666667 
162.5 5.0666666667 
163.5 3.9333333333 
164.5 3.0666666667 
165.5 3.4666666667 
166.5 3.1333333333 
167.5 2.7333333333 
168.5 2.5333333333 
169.5 2.6 
170.5 2.6666666667 
171.5 1.6666666667 
172.5 1.2 
173.5 0.8666666667 
174.5 1.1333333333 
175.5 0.8 
176.5 0.8666666667 
177.5 0.4 
178.5 0.2666666667 
179.5 0.0666666667 
