# Bond angle distribution (180 data points):
# Angle Count
0.5 0.0 
1.5 0.0 
2.5 0.0 
3.5 0.0 
4.5 0.0 
5.5 0.0 
6.5 0.0 
7.5 0.0 
8.5 0.0 
9.5 0.0 
10.5 0.0 
11.5 0.0 
12.5 0.0 
13.5 0.0 
14.5 0.0 
15.5 0.0 
16.5 0.0 
17.5 0.0 
18.5 0.0 
19.5 0.0 
20.5 0.0 
21.5 0.0 
22.5 0.0 
23.5 0.0 
24.5 0.0 
25.5 0.0 
26.5 0.0 
27.5 0.0 
28.5 0.0 
29.5 0.0 
30.5 0.0 
31.5 0.0 
32.5 0.0 
33.5 0.0 
34.5 0.0 
35.5 0.1333333333 
36.5 0.3333333333 
37.5 1.3333333333 
38.5 3.4666666667 
39.5 8.5333333333 
40.5 19.6 
41.5 37.9333333333 
42.5 65.0 
43.5 109.6 
44.5 155.0666666667 
45.5 216.1333333333 
46.5 275.9333333333 
47.5 336.6 
48.5 394.6 
49.5 444.6 
50.5 479.0666666667 
51.5 514.8 
52.5 525.2666666667 
53.5 533.0 
54.5 540.8666666667 
55.5 527.8666666667 
56.5 523.1333333333 
57.5 508.2 
58.5 490.8666666667 
59.5 477.8 
60.5 452.4666666667 
61.5 451.8 
62.5 421.3333333333 
63.5 411.8 
64.5 408.6666666667 
65.5 403.4666666667 
66.5 403.4 
67.5 396.9333333333 
68.5 396.9333333333 
69.5 407.3333333333 
70.5 418.2666666667 
71.5 436.3333333333 
72.5 460.4 
73.5 498.0666666667 
74.5 540.1333333333 
75.5 573.5333333333 
76.5 633.4 
77.5 695.2666666667 
78.5 756.2666666667 
79.5 836.3333333333 
80.5 922.8 
81.5 1012.1333333333 
82.5 1103.1333333333 
83.5 1205.4666666667 
84.5 1349.6 
85.5 1467.6666666667 
86.5 1617.1333333333 
87.5 1783.6666666667 
88.5 1929.9333333333 
89.5 2103.8 
90.5 2316.4666666667 
91.5 2501.6 
92.5 2705.7333333333 
93.5 2882.7333333333 
94.5 3131.0 
95.5 3342.2 
96.5 3586.6 
97.5 3756.3333333333 
98.5 4062.9333333333 
99.5 4261.0666666667 
100.5 4444.0 
101.5 4611.1333333333 
102.5 4805.3333333333 
103.5 4958.5333333333 
104.5 5110.6666666667 
105.5 5284.0 
106.5 5410.6 
107.5 5489.0 
108.5 5568.7333333333 
109.5 5587.0 
110.5 5657.2666666667 
111.5 5627.9333333333 
112.5 5615.9333333333 
113.5 5579.7333333333 
114.5 5504.2666666667 
115.5 5453.8 
116.5 5325.6 
117.5 5225.6666666667 
118.5 5124.7333333333 
119.5 5007.2 
120.5 4848.2666666667 
121.5 4644.5333333333 
122.5 4484.0 
123.5 4309.0 
124.5 4108.8666666667 
125.5 3934.1333333333 
126.5 3702.6 
127.5 3529.8666666667 
128.5 3360.6 
129.5 3180.6 
130.5 2970.2 
131.5 2795.8666666667 
132.5 2615.0 
133.5 2458.1333333333 
134.5 2283.2 
135.5 2121.3333333333 
136.5 1964.8 
137.5 1830.6 
138.5 1697.8666666667 
139.5 1572.1333333333 
140.5 1441.6 
141.5 1317.1333333333 
142.5 1217.4666666667 
143.5 1125.3333333333 
144.5 1027.2666666667 
145.5 935.4666666667 
146.5 858.6666666667 
147.5 791.0 
148.5 728.0666666667 
149.5 663.7333333333 
150.5 612.2666666667 
151.5 558.8 
152.5 505.4666666667 
153.5 461.4666666667 
154.5 414.8 
155.5 378.4666666667 
156.5 345.0666666667 
157.5 316.5333333333 
158.5 295.2 
159.5 269.8 
160.5 239.3333333333 
161.5 218.4 
162.5 194.0 
163.5 181.0 
164.5 160.0 
165.5 141.9333333333 
166.5 132.3333333333 
167.5 115.8666666667 
168.5 107.5333333333 
169.5 96.7333333333 
170.5 83.8666666667 
171.5 75.5333333333 
172.5 63.6 
173.5 54.1333333333 
174.5 43.9333333333 
175.5 37.1333333333 
176.5 29.0666666667 
177.5 20.6666666667 
178.5 12.4666666667 
179.5 3.8 
