#The following results were obtained by uniaxial tension of diamond under strain rate of 1e-9 with NEP3 potential.  
#Strain     Stress(GPa)
0.000000    0.012281
0.000010    -0.018671
0.000020    0.006351
0.000030    0.016065
0.000040    0.006022
0.000050    0.013042
0.000060    0.047171
0.000070    0.040539
0.000080    0.075493
0.000090    0.100729
0.000100    0.133535
0.000110    0.149280
0.000120    0.133100
0.000130    0.206651
0.000140    0.195973
0.000150    0.154675
0.000161    0.183187
0.000171    0.194879
0.000181    0.210116
0.000191    0.260530
0.000201    0.251146
0.000211    0.279943
0.000221    0.295921
0.000231    0.266733
0.000241    0.309676
0.000251    0.296892
0.000261    0.307694
0.000271    0.268322
0.000281    0.321603
0.000291    0.333603
0.000301    0.388680
0.000311    0.348157
0.000321    0.400456
0.000331    0.365715
0.000341    0.364202
0.000351    0.416851
0.000361    0.444764
0.000371    0.408890
0.000381    0.429338
0.000391    0.451989
0.000401    0.469093
0.000411    0.461676
0.000421    0.487062
0.000431    0.527577
0.000441    0.523077
0.000451    0.473482
0.000461    0.490559
0.000472    0.499196
0.000482    0.523987
0.000492    0.537615
0.000502    0.528557
0.000512    0.628659
0.000522    0.600541
0.000532    0.567719
0.000542    0.595226
0.000552    0.616468
0.000562    0.640467
0.000572    0.660302
0.000582    0.627388
0.000592    0.652726
0.000602    0.650431
0.000612    0.628598
0.000622    0.661616
0.000632    0.688744
0.000642    0.739782
0.000652    0.719995
0.000662    0.707840
0.000672    0.735121
0.000682    0.786883
0.000692    0.828599
0.000702    0.771749
0.000712    0.767153
0.000722    0.811739
0.000732    0.831452
0.000742    0.841995
0.000752    0.869595
0.000762    0.852422
0.000772    0.903192
0.000783    0.881986
0.000793    0.899308
0.000803    0.882706
0.000813    0.931239
0.000823    0.923779
0.000833    0.933279
0.000843    0.948209
0.000853    1.007381
0.000863    1.014531
0.000873    0.972799
0.000883    1.030979
0.000893    1.023409
0.000903    0.976824
0.000913    0.993818
0.000923    1.031377
0.000933    1.072553
0.000943    1.047407
0.000953    1.113068
0.000963    1.116348
0.000973    1.147677
0.000983    1.140843
0.000993    1.105362
0.001003    1.094687
0.001013    1.186390
0.001023    1.125458
0.001033    1.170885
0.001043    1.205153
0.001053    1.229151
0.001063    1.201341
0.001073    1.206602
0.001083    1.224617
0.001094    1.217059
0.001104    1.232795
0.001114    1.215763
0.001124    1.284547
0.001134    1.251680
0.001144    1.268681
0.001154    1.289020
0.001164    1.247969
0.001174    1.288369
0.001184    1.282226
0.001194    1.334037
0.001204    1.316747
0.001214    1.364191
0.001224    1.390107
0.001234    1.430151
0.001244    1.415583
0.001254    1.404548
0.001264    1.425000
0.001274    1.438523
0.001284    1.420740
0.001294    1.409976
0.001304    1.443746
0.001314    1.451173
0.001324    1.458144
0.001334    1.447480
0.001344    1.472118
0.001354    1.446564
0.001364    1.450422
0.001374    1.446404
0.001384    1.545941
0.001394    1.536506
0.001404    1.611632
