#The following results were obtained by SHC method with NEP3 potential.  
#frequency(THz)  kappa(omega) (W/m/K/THz)
0.127324    0.000443
0.254648    0.000886
0.381972    0.004512
0.509296    0.009793
0.636620    0.016551
0.763944    0.025376
0.891268    0.037513
1.018592    0.051499
1.145916    0.066366
1.273240    0.081021
1.400563    0.094453
1.527887    0.105978
1.655211    0.115383
1.782535    0.122948
1.909859    0.129310
2.037183    0.135223
2.164507    0.141281
2.291831    0.147699
2.419155    0.154234
2.546479    0.160259
2.673803    0.164984
2.801127    0.167740
2.928451    0.168222
3.055775    0.166624
3.183099    0.163606
3.310423    0.160119
3.437747    0.157125
3.565071    0.155329
3.692395    0.154978
3.819719    0.155809
3.947043    0.157137
4.074367    0.158060
4.201690    0.157712
4.329014    0.155489
4.456338    0.151190
4.583662    0.145041
4.710986    0.137604
4.838310    0.129616
4.965634    0.121800
5.092958    0.114710
5.220282    0.108641
5.347606    0.103620
5.474930    0.099473
5.602254    0.095930
5.729578    0.092732
5.856902    0.089715
5.984226    0.086832
6.111550    0.084146
6.238874    0.081774
6.366198    0.079832
6.493522    0.078394
6.620846    0.077465
6.748170    0.076996
6.875494    0.076891
7.002817    0.077030
7.130141    0.077276
7.257465    0.077484
7.384789    0.077495
7.512113    0.077159
7.639437    0.076355
7.766761    0.075024
7.894085    0.073201
8.021409    0.071014
8.148733    0.068669
8.276057    0.066392
8.403381    0.064376
8.530705    0.062723
8.658029    0.061429
8.785353    0.060404
8.912677    0.059527
9.040001    0.058706
9.167325    0.057936
9.294649    0.057309
9.421973    0.056997
9.549297    0.057194
9.676621    0.058051
9.803944    0.059622
9.931268    0.061841
10.058592    0.064537
10.185916    0.067468
10.313240    0.070380
10.440564    0.073053
10.567888    0.075336
10.695212    0.077160
10.822536    0.078530
10.949860    0.079504
11.077184    0.080161
11.204508    0.080572
11.331832    0.080779
11.459156    0.080775
11.586480    0.080512
11.713804    0.079919
11.841128    0.078940
11.968452    0.077570
12.095776    0.075887
12.223100    0.074060
12.350424    0.072319
12.477748    0.070910
12.605071    0.070024
12.732395    0.069750
12.859719    0.070042
12.987043    0.070743
13.114367    0.071637
13.241691    0.072518
13.369015    0.073251
13.496339    0.073797
13.623663    0.074200
13.750987    0.074534
13.878311    0.074842
14.005635    0.075095
