 Cu Ag Au Ni Pd Pt Al Pb Fe Mo Ta W Mg Co Ti Zr Cr V
 2.556162 2.891814 2.885034 2.488746 2.750897 2.771916 2.863924 3.499723 2.481987 2.7281 2.860082 2.74084 3.196291 2.505979 2.933872 3.199978 2.493879 2.594662
 1.554485 1.106232 1.529021 2.007018 1.595417 2.336509 1.403115 0.647872 1.885957 2.72371 3.086341 3.48734 0.544323 1.975299 1.8632 2.230909 1.793835 2.523567
 21.175871 14.6041 19.991632 27.562015 21.335246 33.367564 20.418205 8.450154 20.041463 29.354065 33.787168 37.234847 7.1326 27.206789 25.565138 30.879991 17.641302 27.724393
 21.175395 14.604144 19.991509 27.562031 21.940073 35.205357 23.19574 8.450063 20.041463 29.354065 33.787168 37.234847 7.1326 27.206789 25.565138 30.879991 19.60545 27.724393
 8.12762 9.13201 9.516052 8.383453 8.697397 7.105782 6.613165 9.121799 9.81827 8.393531 8.489528 8.900114 10.228708 8.679625 8.775431 8.55919 8.604593 7.51586
 4.334731 4.870405 5.075228 4.471175 4.638612 3.78975 3.527021 5.212457 5.236411 4.47655 4.527748 4.746728 5.455311 4.629134 4.68023 4.564902 4.589611 4.908879
 0.39662 0.277758 0.229762 0.429046 0.406763 0.556398 0.314873 0.161219 0.392811 0.708787 0.611679 0.882435 0.137518 0.421378 0.373601 0.424667 0.48 0.631438
 0.548085 0.419611 0.356666 0.633531 0.59888 0.696037 0.365551 0.236884 0.646243 1.120373 1.032101 1.394592 0.22593 0.640107 0.570968 0.640054 0.8 0.886485
 0.308782 0.33971 0.35657 0.443599 0.397263 0.385255 0.379846 0.250805 0.170306 0.13764 0.176977 0.139209 0.5 0.5 0.5 0.5 0.18533 0.18517
 0.756515 0.750758 0.748798 0.820658 0.754799 0.77051 0.759692 0.764955 0.340613 0.27528 0.353954 0.278417 1 1 1 1 0.277995 0.419307
 -2.170269 -1.729364 -2.937772 -2.693513 -2.321006 -1.455568 -2.807602 -1.42237 -2.534992 -3.692913 -5.103845 -4.946281 -0.896473 -2.541799 -3.203773 -4.485793 -2.022754 -3.352734
 -0.263788 -0.255882 -0.500288 -0.076445 -0.473983 -2.149952 -0.301435 -0.210107 -0.059605 -0.178812 -0.405524 -0.148818 -0.044291 -0.219415 -0.198262 -0.293129 0.039608 -0.254664
 1.088878 0.91205 1.601954 0.241442 1.615343 0.528491 1.258562 0.682886 0.193065 0.38045 1.112997 0.365057 0.162232 0.733381 0.683779 0.990148 -0.183611 0.640819
 -0.817603 -0.561432 -0.83553 -2.375626 -0.231681 1.222875 -1.247604 -0.529378 -2.282322 -3.13365 -3.585325 -4.432406 -0.68995 -1.589003 -2.321732 -3.202516 -2.245972 -2.830487
 -2.19 -1.75 -2.98 -2.7 -2.36 -4.17 -2.83 -1.44 -2.54 -3.71 -5.14 -4.96 -0.9 -2.56 -3.22 -4.51 -2.02 -3.380243
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0.56183 0.744561 1.706587 0.26539 1.481742 3.010561 0.622245 0.702726 0.200269 0.875874 1.640098 0.661935 0.122838 0.705845 0.608587 0.928602 -0.056517 1.242722
 -2.100595 -1.15065 -1.134778 -0.152856 -1.675615 -2.420128 -2.488244 -0.538766 -0.14877 0.776222 0.221375 0.348147 -0.22601 -0.68714 -0.75071 -0.98187 0.439144 0.134111
 0.31049 0.783924 1.021095 0.44547 1.13 1.45 0.785902 0.93538 0.39175 0.790879 0.848843 0.582714 0.431425 0.694608 0.558572 0.597133 0.456 0.635059
 -2.186568 -1.748423 -2.978815 -2.7 -2.352753 -4.145597 -2.824528 -1.439436 -2.539945 -3.712093 -5.141526 -4.961306 -0.899702 -2.559307 -3.219176 -4.509025 -2.020038 -3.365898
 29 47 79 28 46 78 13 82 26 42 73 74 12 27 22 40 24 23
 63.546 107.8682 196.96654 58.6934 106.42 195.08 26.981539 207.2 55.847 95.94 180.9479 183.84 24.305 58.9332 47.88 91.224 51.9961 50.9415
 -2.100595 -1.15065 -1.134778 -0.152856 -1.675615 -2.420128 -2.488244 -0.538766 -0.14877 0.776222 0.221375 0.348147 -0.22601 -0.68714 -0.75071 -0.98187 0.439144 0.134111
 4.334731 4.870405 5.075228 4.471175 4.638612 3.78975 3.527021 5.212457 5.236411 4.47655 4.527748 4.746728 5.455311 4.629134 4.68023 4.564902 4.589611 4.908879
 0.756515 0.750758 0.748798 0.820658 0.754799 0.77051 0.759692 0.764955 0.340613 0.27528 0.353954 0.278417 1 1 1 1 0.277995 0.419307
 0.85 0.85 0.85 0.85 0.85 0.25 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85
 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.15
